
======================================================================
MECCA VISIBILITY vs KUALA BELAIT IMPOSSIBILITY EXPERIMENT
Analyzing years 1000-6000 AH
======================================================================

Calculating ground truths for Mecca...
Evaluating C from -100 to 100...

======================================================================
RESULTS TABLE (C, Mecca Acc, KB Imp)
======================================================================
 C | Mecca Acc | KB Imp   | Notes
-21| 3.66%    | 91.93%    |
-20| 4.12%    | 91.12%    |
-19| 4.60%    | 90.30%    |
-18| 5.15%    | 89.41%    |
-17| 5.73%    | 88.47%    |
-16| 6.35%    | 87.47%    |
-15| 7.03%    | 86.41%    |
-14| 7.75%    | 85.30%    |
-13| 8.52%    | 84.13%    |
-12| 9.34%    | 82.91%    |
-11| 10.20%    | 81.63%    |
-10| 11.11%    | 80.32%    |
 -9| 12.07%    | 78.94%    |
 -8| 13.07%    | 77.50%    |
 -7| 14.11%    | 76.01%    |
 -6| 15.20%    | 74.48%    |
 -5| 16.33%    | 72.90%    |
 -4| 17.52%    | 71.28%    |
 -3| 18.75%    | 69.61%    |
 -2| 20.03%    | 67.89%    |
 -1| 21.32%    | 66.13%    |
  0| 22.61%    | 64.36%    |
  1| 23.98%    | 62.54%    |
  2| 25.36%    | 60.69%    |
  3| 26.77%    | 58.80%    |
  4| 28.17%    | 56.89%    |
  5| 29.61%    | 54.99%    |
  6| 31.09%    | 53.06%    |
  7| 32.53%    | 51.13%    |
  8| 33.96%    | 49.17%    |
  9| 35.40%    | 47.21%    |
 10| 36.83%    | 45.27%    |
 11| 38.25%    | 43.33%    |
 12| 39.63%    | 41.39%    |
 13| 40.99%    | 39.47%    |
 14| 42.31%    | 37.57%    |
 15| 43.59%    | 35.69%    |
 16| 44.81%    | 33.85%    |
 17| 45.99%    | 32.04%    |
 18| 47.12%    | 30.26%    |
 19| 48.20%    | 28.54%    |
 20| 49.19%    | 26.82%    |
 21| 50.10%    | 25.17%    |
 22| 50.95%    | 23.57%    |
 23| 51.70%    | 22.01%    |
 24| 52.37%    | 20.51%    |
 25| 52.97%    | 19.05%    |
 26| 53.44%    | 17.65%    |
 27| 53.79%    | 16.32%    |
 28| 54.03%    | 15.04%    |
 29| 54.20%    | 13.84%    |
 30| 54.33%    | 12.68%    | Pareto Frontier
 31| 54.27%    | 11.58%    | Pareto Frontier
 32| 54.15%    | 10.55%    | Pareto Frontier, IDEAL DIST
 33| 53.91%    | 9.58%    | Pareto Frontier
 34| 53.57%    | 8.69%    | Pareto Frontier
 35| 53.15%    | 7.83%    | Pareto Frontier
 36| 52.56%    | 7.03%    | Pareto Frontier
 37| 51.91%    | 6.28%    | Pareto Frontier
 38| 51.18%    | 5.61%    | Pareto Frontier
 39| 50.36%    | 5.00%    | Pareto Frontier
 40| 49.45%    | 4.42%    | Pareto Frontier
 41| 48.47%    | 3.88%    | Pareto Frontier
 42| 47.40%    | 3.40%    | Pareto Frontier
 43| 46.25%    | 2.98%    | Pareto Frontier
 44| 45.02%    | 2.58%    | Pareto Frontier
 45| 43.73%    | 2.23%    | Pareto Frontier
 46| 42.43%    | 1.92%    | Pareto Frontier
 47| 41.04%    | 1.63%    | Pareto Frontier, KNEE POINT
 48| 39.58%    | 1.38%    | Pareto Frontier
 49| 38.08%    | 1.16%    | Pareto Frontier
 50| 36.58%    | 0.97%    | Pareto Frontier
 51| 35.08%    | 0.80%    | Pareto Frontier
 52| 33.53%    | 0.65%    | Pareto Frontier
 53| 32.00%    | 0.53%    | Pareto Frontier
 54| 30.46%    | 0.43%    | Pareto Frontier
 55| 28.91%    | 0.33%    | Pareto Frontier
 56| 27.38%    | 0.26%    | Pareto Frontier
 57| 25.89%    | 0.19%    | Pareto Frontier
 58| 24.42%    | 0.14%    | Pareto Frontier
 59| 22.95%    | 0.10%    | Pareto Frontier
 60| 21.49%    | 0.08%    | Pareto Frontier
 61| 20.10%    | 0.06%    | Pareto Frontier
 62| 18.73%    | 0.04%    | Pareto Frontier
 63| 17.40%    | 0.02%    | Pareto Frontier
 64| 16.14%    | 0.01%    | Pareto Frontier
 65| 14.89%    | 0.00%    | Pareto Frontier
 66| 13.74%    | 0.00%    | Pareto Frontier
 67| 12.63%    | 0.00%    | Pareto Frontier
 68| 11.56%    | 0.00%    |
 69| 10.54%    | 0.00%    | Pareto Frontier
 70| 9.58%    | 0.00%    |
 71| 8.66%    | 0.00%    |
 72| 7.81%    | 0.00%    |
 73| 7.03%    | 0.00%    |
 74| 6.29%    | 0.00%    |
 75| 5.62%    | 0.00%    |
 76| 4.98%    | 0.00%    |
 77| 4.40%    | 0.00%    |
 78| 3.89%    | 0.00%    |
 79| 3.43%    | 0.00%    |
 80| 3.00%    | 0.00%    |
 81| 2.60%    | 0.00%    |
 82| 2.24%    | 0.00%    |
 83| 1.92%    | 0.00%    |
 84| 1.64%    | 0.00%    |
 85| 1.39%    | 0.00%    |
 86| 1.17%    | 0.00%    |
 87| 0.97%    | 0.00%    |
 88| 0.80%    | 0.00%    |
 89| 0.66%    | 0.00%    |
 90| 0.54%    | 0.00%    |
 91| 0.43%    | 0.00%    |
 92| 0.34%    | 0.00%    |
 93| 0.27%    | 0.00%    |
 94| 0.20%    | 0.00%    |
 95| 0.16%    | 0.00%    |
 96| 0.12%    | 0.00%    |
 97| 0.08%    | 0.00%    |
 98| 0.06%    | 0.00%    |
 99| 0.04%    | 0.00%    |
100| 0.02%    | 0.00%    |

======================================================================
OPTIMAL RECOMMENDATIONS
======================================================================
1. Knee Point (Best Trade-off):    C=47 (Mecca Acc=41.04%, KB Imp=1.63%)
2. Ideal Distance (Closest to 100%/0%): C=32 (Mecca Acc=54.15%, KB Imp=10.55%)
3. Low Impossibility (<1%):        C=50 (Mecca Acc=36.58%, KB Imp=0.97%)

======================================================================
